type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,2355.0,331.5
capteur,2,850.2,2218.2
capteur,3,2684.2,3388.8
capteur,4,3365.9,3806.5
capteur,5,675.2,2935.6
capteur,6,2819.4,4629.9
capteur,7,1610.2,3967.2
capteur,8,1099.1,4075.4
capteur,9,3145.4,1644.3
capteur,10,1833.1,1322.1
capteur,11,3496.4,4457.8
capteur,12,4624.2,3611.2
capteur,13,2967.7,328.6
capteur,14,1352.8,1331.6
capteur,15,4732.5,2787.4
capteur,16,2900.6,4401.4
capteur,17,892.5,541.1
capteur,18,4168.4,4700.6
capteur,19,4624.6,4377.5
capteur,20,3410.4,1007.0
capteur,21,2327.3,3398.3
capteur,22,1631.7,1780.7
capteur,23,585.8,2187.8
capteur,24,3951.3,1187.3
capteur,25,426.0,2613.8
capteur,26,3847.7,703.5
capteur,27,4513.1,1192.9
capteur,28,4191.6,3720.4
capteur,29,3517.5,513.1
capteur,30,2662.3,2766.8
