type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,1559.9,4107.6
capteur,2,582.8,3489.0
capteur,3,2781.9,4412.8
capteur,4,4545.9,4147.9
capteur,5,764.7,1081.1
capteur,6,1090.2,1489.2
capteur,7,4503.3,3990.9
capteur,8,2533.4,1865.5
capteur,9,1332.3,852.4
capteur,10,577.8,2200.1
capteur,11,977.8,1462.0
capteur,12,3727.7,2992.4
capteur,13,1875.9,1511.0
capteur,14,695.9,1184.7
capteur,15,3314.0,3314.7
capteur,16,1959.9,2492.5
capteur,17,2151.9,2178.0
capteur,18,2108.9,816.4
capteur,19,4137.8,1563.9
capteur,20,914.7,4161.9
capteur,21,3979.2,4263.1
capteur,22,4719.5,895.1
capteur,23,3154.8,3577.4
capteur,24,3313.4,2378.0
capteur,25,2149.6,4445.7
capteur,26,4568.6,4256.4
capteur,27,1365.6,994.9
capteur,28,1928.0,385.3
capteur,29,3660.8,1088.2
capteur,30,2836.1,3148.6
