type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,646.4,3319.8
capteur,2,954.0,4034.4
capteur,3,1509.8,1059.6
capteur,4,2374.6,1133.8
capteur,5,3126.8,4521.4
capteur,6,1406.7,1478.4
capteur,7,399.5,3825.9
capteur,8,3598.2,2462.6
capteur,9,941.9,2346.1
capteur,10,3244.8,3952.4
capteur,11,589.0,877.7
capteur,12,601.2,3805.7
capteur,13,4308.9,4417.6
capteur,14,3090.3,2233.1
capteur,15,1725.3,1852.6
capteur,16,1292.3,3573.4
capteur,17,2300.2,617.6
capteur,18,906.6,370.1
capteur,19,635.6,3886.3
capteur,20,4133.6,1907.5
capteur,21,2097.3,4269.7
capteur,22,3514.1,3246.3
capteur,23,3914.9,687.7
capteur,24,254.7,2426.6
capteur,25,1603.3,4115.6
capteur,26,1902.6,1752.2
capteur,27,1336.5,1605.8
capteur,28,848.2,2157.9
capteur,29,4373.6,3825.4
capteur,30,3104.4,3301.9
