type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,1522.7,2632.1
capteur,2,1775.9,3176.0
capteur,3,4350.6,680.1
capteur,4,3765.1,4114.5
capteur,5,4633.4,2673.1
capteur,6,1202.6,3946.9
capteur,7,2931.9,4156.6
capteur,8,1264.9,471.3
capteur,9,3715.9,4422.4
capteur,10,343.8,3287.6
capteur,11,2571.8,4353.7
capteur,12,4661.8,2838.8
capteur,13,4179.6,4073.0
capteur,14,2567.6,4318.8
capteur,15,4423.9,258.9
capteur,16,3010.6,958.7
capteur,17,2204.5,435.9
capteur,18,786.3,283.4
capteur,19,1847.2,2430.3
capteur,20,2867.8,3255.0
capteur,21,4662.2,344.9
capteur,22,877.6,4293.7
capteur,23,451.6,1344.6
capteur,24,1290.2,398.6
capteur,25,1401.9,2929.4
capteur,26,1611.9,2078.5
capteur,27,3596.0,2084.1
capteur,28,334.9,4299.9
capteur,29,4546.0,288.0
capteur,30,1123.0,2201.5
