type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,454.3,383.1
capteur,2,925.0,747.5
capteur,3,924.9,1169.3
capteur,4,1808.1,284.7
capteur,5,277.8,556.3
capteur,6,1396.0,1218.7
capteur,7,1021.8,1555.4
capteur,8,1016.5,860.8
capteur,9,1215.6,1056.8
capteur,10,1621.3,1329.0
capteur,11,1503.3,1194.9
capteur,12,1461.1,1451.0
capteur,13,355.0,605.8
capteur,14,1469.0,1429.3
capteur,15,1235.2,472.6
capteur,16,1321.7,163.5
capteur,17,542.2,1748.2
capteur,18,677.5,1842.3
capteur,19,1254.1,1033.2
capteur,20,231.0,1234.5
capteur,21,739.4,1475.1
capteur,22,1009.4,1182.1
capteur,23,1143.3,1899.5
capteur,24,483.6,693.6
capteur,25,1190.0,1752.5
capteur,26,1389.5,1035.9
capteur,27,1113.0,1664.3
capteur,28,1532.0,496.0
capteur,29,528.5,256.6
capteur,30,314.4,210.0
capteur,31,957.0,1850.9
capteur,32,384.0,1271.2
capteur,33,1108.5,1881.4
capteur,34,1413.3,115.5
capteur,35,718.0,1048.8
capteur,36,963.2,1566.9
capteur,37,1592.5,1888.2
capteur,38,696.2,392.3
capteur,39,1307.1,1529.9
capteur,40,135.7,1628.3
capteur,41,898.2,774.7
capteur,42,842.4,828.3
capteur,43,1638.0,748.9
capteur,44,1075.2,301.1
capteur,45,982.0,160.6
capteur,46,1201.9,312.5
capteur,47,789.2,892.2
capteur,48,124.4,782.6
capteur,49,1874.5,137.0
capteur,50,1707.1,266.6
