type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,153.3,271.3
capteur,2,133.6,487.7
capteur,3,299.3,850.9
capteur,4,925.1,97.6
capteur,5,414.6,832.5
capteur,6,605.0,314.5
capteur,7,711.8,489.4
capteur,8,610.4,224.1
capteur,9,869.5,220.1
capteur,10,547.8,356.6
capteur,11,851.0,239.3
capteur,12,840.2,264.0
capteur,13,789.5,817.0
capteur,14,85.4,166.9
capteur,15,597.7,686.3
capteur,16,753.5,575.4
capteur,17,264.4,869.5
capteur,18,817.0,607.8
capteur,19,714.6,269.9
capteur,20,535.6,467.8
capteur,21,316.4,119.7
capteur,22,687.2,400.8
capteur,23,771.3,930.4
capteur,24,188.0,857.1
capteur,25,439.7,157.2
capteur,26,459.2,472.6
capteur,27,100.7,347.4
capteur,28,168.5,548.8
capteur,29,373.6,446.0
capteur,30,541.5,369.0
capteur,31,898.2,180.8
capteur,32,423.6,386.5
capteur,33,575.9,348.3
capteur,34,765.8,388.3
capteur,35,618.7,136.9
capteur,36,130.5,322.9
capteur,37,698.6,322.2
capteur,38,53.7,710.3
capteur,39,682.6,167.0
capteur,40,833.7,148.2
