type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,645.5,130.4
capteur,2,110.5,515.2
capteur,3,69.4,796.9
capteur,4,332.4,747.9
capteur,5,140.5,857.4
capteur,6,789.4,146.9
capteur,7,568.6,263.4
capteur,8,670.0,143.0
capteur,9,63.6,758.8
capteur,10,684.7,674.2
capteur,11,738.4,569.3
capteur,12,208.0,602.6
capteur,13,99.5,415.5
capteur,14,262.5,220.4
capteur,15,52.8,146.0
capteur,16,409.8,492.9
capteur,17,552.7,496.9
capteur,18,686.4,374.1
capteur,19,454.7,452.7
capteur,20,278.7,869.7
capteur,21,392.4,523.9
capteur,22,670.3,173.6
capteur,23,658.2,855.2
capteur,24,807.9,651.7
capteur,25,324.8,604.2
capteur,26,635.0,587.5
capteur,27,271.5,788.5
capteur,28,314.6,627.0
capteur,29,855.9,692.7
capteur,30,234.4,54.3
capteur,31,914.9,662.3
capteur,32,121.7,853.1
capteur,33,762.7,831.6
capteur,34,414.1,256.6
capteur,35,357.0,554.5
capteur,36,516.7,529.5
capteur,37,491.5,420.4
capteur,38,888.6,738.7
capteur,39,744.2,163.0
capteur,40,471.7,533.3
