type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,988.1,932.1
capteur,2,1660.2,1508.4
capteur,3,734.5,1830.3
capteur,4,1877.0,744.5
capteur,5,355.9,873.7
capteur,6,933.2,800.2
capteur,7,1057.0,1131.0
capteur,8,526.7,1384.3
capteur,9,1529.8,1385.2
capteur,10,325.4,471.4
capteur,11,363.8,358.0
capteur,12,256.3,1461.4
capteur,13,920.3,1528.5
capteur,14,853.9,314.3
capteur,15,169.5,807.1
capteur,16,1813.0,1209.2
capteur,17,1095.9,263.5
capteur,18,304.4,1138.9
capteur,19,1305.6,133.7
capteur,20,1307.7,766.9
capteur,21,1664.4,518.5
capteur,22,564.9,1155.5
capteur,23,144.6,1899.4
capteur,24,1615.6,1023.6
capteur,25,1205.1,726.7
capteur,26,1428.3,823.0
capteur,27,518.5,898.9
capteur,28,1484.3,1341.5
capteur,29,1723.3,988.6
capteur,30,906.3,188.0
capteur,31,1653.6,914.4
capteur,32,1100.6,688.4
capteur,33,318.9,1115.3
capteur,34,198.9,1069.4
capteur,35,795.9,104.9
capteur,36,1419.4,1181.9
capteur,37,1723.4,1311.4
capteur,38,781.1,1126.8
capteur,39,1870.2,562.3
capteur,40,501.6,1574.0
capteur,41,1370.5,1293.9
capteur,42,1804.5,1119.0
capteur,43,876.5,1728.1
capteur,44,550.7,650.3
capteur,45,387.1,860.7
capteur,46,1068.7,910.2
capteur,47,550.4,1252.8
capteur,48,781.7,245.4
capteur,49,197.8,529.8
capteur,50,437.8,740.1
