type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,4093.1,774.6
capteur,2,2283.4,498.5
capteur,3,1042.3,394.9
capteur,4,3919.4,4005.4
capteur,5,3145.0,4413.4
capteur,6,2023.8,3640.4
capteur,7,3727.2,1754.2
capteur,8,3155.8,4297.1
capteur,9,4083.7,2393.2
capteur,10,4434.2,323.6
capteur,11,4625.2,3066.7
capteur,12,1449.1,2145.3
capteur,13,4109.6,1318.8
capteur,14,328.0,2725.1
capteur,15,2402.6,281.6
capteur,16,4598.8,3625.6
capteur,17,2030.1,713.6
capteur,18,1833.9,4143.3
capteur,19,1700.4,1344.7
capteur,20,1342.9,1347.1
capteur,21,1426.7,543.4
capteur,22,4738.9,1699.5
capteur,23,665.3,2266.1
capteur,24,2145.3,1610.3
capteur,25,3565.9,2531.8
capteur,26,1510.8,599.8
capteur,27,2633.5,4501.9
capteur,28,1683.1,3188.1
capteur,29,3778.6,4103.1
capteur,30,1335.8,1830.8
