type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,3088.7,4549.5
capteur,2,545.5,4544.6
capteur,3,3409.9,1142.3
capteur,4,3128.3,2514.8
capteur,5,1073.7,3899.1
capteur,6,2427.1,3663.3
capteur,7,2385.1,3342.1
capteur,8,1747.3,1707.6
capteur,9,2953.5,1250.5
capteur,10,4245.8,2157.4
capteur,11,429.2,3177.3
capteur,12,2972.2,4181.7
capteur,13,397.3,3708.7
capteur,14,1520.3,3791.2
capteur,15,4310.4,3084.7
capteur,16,3280.7,3064.4
capteur,17,3506.7,1745.1
capteur,18,4001.8,4208.2
capteur,19,3103.1,1223.3
capteur,20,3284.4,2997.6
capteur,21,1249.9,3200.5
capteur,22,2489.5,3480.9
capteur,23,4459.8,987.5
capteur,24,4066.7,4608.5
capteur,25,836.7,390.6
capteur,26,4277.2,1634.6
capteur,27,1348.3,2390.7
capteur,28,2607.4,4689.8
capteur,29,4571.9,3887.1
capteur,30,4502.3,2235.9
