type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,700.7,263.9
capteur,2,448.2,204.7
capteur,3,768.0,875.8
capteur,4,145.3,706.5
capteur,5,376.0,933.9
capteur,6,237.5,806.9
capteur,7,892.5,638.1
capteur,8,473.5,99.5
capteur,9,788.0,188.5
capteur,10,61.2,759.7
capteur,11,856.2,436.6
capteur,12,109.6,699.7
capteur,13,768.2,873.2
capteur,14,884.1,594.7
capteur,15,811.2,411.2
capteur,16,233.8,884.1
capteur,17,428.6,446.0
capteur,18,325.5,126.3
capteur,19,565.4,139.9
capteur,20,330.1,496.3
capteur,21,775.7,757.8
capteur,22,929.5,462.3
capteur,23,277.2,656.2
capteur,24,721.7,266.1
capteur,25,419.9,418.0
capteur,26,349.3,552.4
capteur,27,180.3,626.7
capteur,28,707.6,592.2
capteur,29,344.0,83.1
capteur,30,794.7,352.2
capteur,31,355.6,52.2
capteur,32,316.0,683.8
capteur,33,310.9,902.3
capteur,34,591.8,844.4
capteur,35,586.6,938.0
capteur,36,186.2,71.6
capteur,37,83.9,421.4
capteur,38,791.4,556.8
capteur,39,162.5,663.4
capteur,40,318.2,674.0
