type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,188.5,283.1
capteur,2,762.5,550.8
capteur,3,1851.5,1109.6
capteur,4,540.3,1140.2
capteur,5,734.7,1131.8
capteur,6,1442.8,176.3
capteur,7,782.8,1896.2
capteur,8,791.1,1788.1
capteur,9,534.7,391.1
capteur,10,1100.1,995.5
capteur,11,246.8,666.7
capteur,12,570.6,1596.9
capteur,13,147.6,718.2
capteur,14,1655.7,1419.0
capteur,15,1832.2,1687.2
capteur,16,1049.6,510.2
capteur,17,955.4,1833.2
capteur,18,861.5,638.3
capteur,19,309.8,1402.1
capteur,20,1849.7,1779.7
capteur,21,1032.0,551.6
capteur,22,318.5,129.1
capteur,23,663.6,841.4
capteur,24,417.5,1689.2
capteur,25,1793.9,1731.2
capteur,26,1750.8,502.8
capteur,27,536.8,1724.1
capteur,28,268.2,101.0
capteur,29,1850.8,670.2
capteur,30,557.4,771.3
capteur,31,611.5,245.2
capteur,32,1219.9,319.4
capteur,33,1392.1,434.5
capteur,34,910.1,259.5
capteur,35,331.1,992.4
capteur,36,1467.6,845.3
capteur,37,808.5,510.3
capteur,38,245.9,283.7
capteur,39,431.2,1336.3
capteur,40,1481.8,984.0
capteur,41,818.8,1277.8
capteur,42,1460.6,1161.4
capteur,43,213.3,979.0
capteur,44,1330.2,1790.6
capteur,45,796.6,1731.9
capteur,46,175.1,1838.4
capteur,47,935.9,1476.0
capteur,48,1601.1,1690.7
capteur,49,1165.7,601.4
capteur,50,1838.9,1016.6
