type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,648.2,1322.0
capteur,2,1472.9,1835.4
capteur,3,1225.8,739.3
capteur,4,1382.7,354.8
capteur,5,648.7,1850.7
capteur,6,461.3,603.4
capteur,7,1744.9,569.2
capteur,8,1440.9,1846.4
capteur,9,1202.2,1369.2
capteur,10,1050.4,964.0
capteur,11,1348.7,328.2
capteur,12,1087.2,108.1
capteur,13,951.1,1062.4
capteur,14,1694.6,397.9
capteur,15,1895.7,825.9
capteur,16,1739.0,484.6
capteur,17,1599.9,257.0
capteur,18,1102.6,370.7
capteur,19,1712.0,1755.0
capteur,20,1195.4,1126.2
capteur,21,1048.8,1527.6
capteur,22,1502.2,891.2
capteur,23,1080.5,235.1
capteur,24,237.8,1318.2
capteur,25,1604.9,1480.9
capteur,26,1583.5,1369.7
capteur,27,1316.3,960.6
capteur,28,763.3,866.4
capteur,29,1268.4,478.1
capteur,30,1502.2,1473.1
capteur,31,333.3,814.4
capteur,32,242.6,633.4
capteur,33,1700.0,463.7
capteur,34,1103.6,1486.7
capteur,35,1376.8,1035.0
capteur,36,1303.9,688.8
capteur,37,1460.0,703.3
capteur,38,1052.4,1745.9
capteur,39,1042.8,497.6
capteur,40,1278.6,981.7
capteur,41,1370.1,1303.4
capteur,42,667.5,1522.1
capteur,43,138.4,154.7
capteur,44,1494.4,1143.6
capteur,45,1440.0,487.0
capteur,46,1489.6,260.2
capteur,47,1219.6,1191.8
capteur,48,1096.8,1580.1
capteur,49,1279.0,734.3
capteur,50,189.3,1231.5
