type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,1735.6,193.4
capteur,2,1765.9,1309.5
capteur,3,973.0,1014.5
capteur,4,1679.3,1855.5
capteur,5,1249.6,1723.2
capteur,6,590.0,1366.5
capteur,7,1203.9,357.5
capteur,8,1697.7,1467.4
capteur,9,1272.1,298.8
capteur,10,752.4,207.8
capteur,11,670.4,497.0
capteur,12,891.8,130.7
capteur,13,588.2,1111.3
capteur,14,1144.1,1863.5
capteur,15,671.4,111.4
capteur,16,1457.8,448.0
capteur,17,1227.7,1796.7
capteur,18,461.2,1484.6
capteur,19,1058.8,1361.4
capteur,20,216.0,1867.5
capteur,21,912.5,1509.6
capteur,22,199.8,1553.6
capteur,23,638.7,773.6
capteur,24,784.9,1496.1
capteur,25,374.2,1873.6
capteur,26,744.0,907.3
capteur,27,464.3,1293.8
capteur,28,699.4,349.4
capteur,29,396.8,587.5
capteur,30,558.3,1856.9
capteur,31,880.0,1570.6
capteur,32,1750.1,1413.5
capteur,33,1380.0,535.2
capteur,34,687.9,630.7
capteur,35,517.0,752.3
capteur,36,1161.8,984.6
capteur,37,147.5,1726.8
capteur,38,705.1,1692.3
capteur,39,834.0,890.9
capteur,40,1087.3,1590.3
capteur,41,318.2,1508.8
capteur,42,304.5,1635.9
capteur,43,1297.5,1079.7
capteur,44,1567.4,191.3
capteur,45,1336.9,1101.5
capteur,46,1577.5,1646.9
capteur,47,532.3,257.6
capteur,48,1881.0,968.8
capteur,49,1772.9,831.1
capteur,50,1624.4,143.1
