type,id,x_m,y_m
passerelle,1,2500.0,4400.0
passerelle,2,600.0,1100.0
passerelle,3,4400.0,1100.0
capteur,1,2482.3,1252.7
capteur,2,1268.7,4448.5
capteur,3,1372.8,3718.9
capteur,4,563.0,1659.6
capteur,5,1020.7,1894.8
capteur,6,2907.0,656.7
capteur,7,2529.2,2290.8
capteur,8,3459.8,2402.8
capteur,9,3752.0,3404.1
capteur,10,3594.8,522.3
capteur,11,4222.4,1592.0
capteur,12,4014.1,1253.9
capteur,13,2910.2,2886.2
capteur,14,1665.3,285.2
capteur,15,2795.6,3155.1
capteur,16,277.4,647.2
capteur,17,1607.8,3134.0
capteur,18,3483.4,2100.5
capteur,19,2686.3,3043.0
capteur,20,3678.0,3968.0
capteur,21,447.8,2841.9
capteur,22,2377.6,729.8
capteur,23,1932.5,3258.7
capteur,24,2800.4,1452.2
capteur,25,773.1,602.9
capteur,26,4224.5,4088.0
capteur,27,4135.8,1457.9
capteur,28,4728.9,371.6
capteur,29,4643.9,4397.5
capteur,30,2083.0,4135.3
