type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,828.2,127.7
capteur,2,580.2,304.1
capteur,3,444.6,451.1
capteur,4,668.9,818.0
capteur,5,794.5,390.4
capteur,6,880.9,330.9
capteur,7,577.3,659.0
capteur,8,937.6,884.8
capteur,9,782.1,844.0
capteur,10,167.8,189.7
capteur,11,671.2,69.7
capteur,12,560.2,266.0
capteur,13,583.2,248.9
capteur,14,281.4,786.1
capteur,15,553.9,105.7
capteur,16,923.4,51.5
capteur,17,181.1,50.7
capteur,18,846.6,234.3
capteur,19,422.9,63.1
capteur,20,374.7,153.3
capteur,21,553.6,282.7
capteur,22,734.9,712.9
capteur,23,189.7,749.6
capteur,24,585.4,615.3
capteur,25,633.5,891.0
capteur,26,668.1,397.0
capteur,27,543.9,257.4
capteur,28,719.6,319.9
capteur,29,129.9,809.7
capteur,30,337.5,545.3
capteur,31,567.0,257.7
capteur,32,237.4,589.0
capteur,33,106.4,598.6
capteur,34,758.0,682.1
capteur,35,853.4,429.7
capteur,36,523.3,913.5
capteur,37,349.9,68.5
capteur,38,433.6,385.7
capteur,39,317.3,367.3
capteur,40,848.7,761.0
