type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,428.6,693.7
capteur,2,400.3,639.3
capteur,3,659.2,55.4
capteur,4,222.3,537.7
capteur,5,794.4,693.0
capteur,6,621.9,476.9
capteur,7,677.7,323.9
capteur,8,300.0,167.4
capteur,9,794.7,741.1
capteur,10,122.9,666.4
capteur,11,601.6,617.2
capteur,12,662.3,923.2
capteur,13,270.9,799.4
capteur,14,520.5,169.4
capteur,15,298.2,539.0
capteur,16,688.2,381.2
capteur,17,801.0,354.9
capteur,18,719.2,461.8
capteur,19,439.0,591.4
capteur,20,291.4,666.5
capteur,21,719.1,450.7
capteur,22,134.8,834.4
capteur,23,554.1,568.8
capteur,24,921.6,125.4
capteur,25,886.7,633.6
capteur,26,699.5,507.8
capteur,27,126.5,892.2
capteur,28,484.6,430.6
capteur,29,529.4,104.8
capteur,30,114.1,591.1
capteur,31,559.6,692.7
capteur,32,323.0,311.7
capteur,33,870.7,543.6
capteur,34,747.6,110.5
capteur,35,816.4,244.1
capteur,36,344.4,90.9
capteur,37,791.8,824.4
capteur,38,73.8,345.4
capteur,39,246.2,834.0
capteur,40,589.4,152.6
