type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,430.1,732.8
capteur,2,940.7,554.0
capteur,3,734.5,640.1
capteur,4,560.9,86.4
capteur,5,579.5,775.7
capteur,6,780.8,520.1
capteur,7,662.4,246.8
capteur,8,339.1,593.8
capteur,9,431.4,144.2
capteur,10,350.6,608.7
capteur,11,471.9,506.8
capteur,12,707.1,201.0
capteur,13,500.9,415.8
capteur,14,604.6,855.2
capteur,15,924.4,715.5
capteur,16,883.2,570.4
capteur,17,555.7,737.5
capteur,18,154.9,593.0
capteur,19,910.6,816.1
capteur,20,469.6,385.0
capteur,21,337.4,515.9
capteur,22,441.0,147.0
capteur,23,547.9,904.8
capteur,24,288.9,788.5
capteur,25,455.8,738.2
capteur,26,785.0,899.9
capteur,27,402.1,878.8
capteur,28,398.7,892.0
capteur,29,373.5,712.5
capteur,30,172.1,124.3
capteur,31,203.8,933.1
capteur,32,193.9,307.9
capteur,33,207.4,292.9
capteur,34,822.9,889.0
capteur,35,806.5,438.4
capteur,36,233.1,206.5
capteur,37,856.2,140.4
capteur,38,776.5,764.3
capteur,39,94.7,438.5
capteur,40,882.1,886.8
