type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,1162.0,1655.2
capteur,2,1048.3,1663.7
capteur,3,901.7,133.3
capteur,4,1197.9,1803.8
capteur,5,873.0,550.2
capteur,6,373.3,1756.4
capteur,7,1474.1,1672.1
capteur,8,1527.9,1471.8
capteur,9,1182.4,1270.3
capteur,10,1541.1,430.6
capteur,11,1237.9,1561.7
capteur,12,480.2,1350.7
capteur,13,1819.4,311.8
capteur,14,1620.2,1217.5
capteur,15,1356.1,1390.5
capteur,16,569.4,1518.4
capteur,17,415.6,494.3
capteur,18,465.0,160.3
capteur,19,1439.9,1880.2
capteur,20,884.2,1602.0
capteur,21,692.8,546.7
capteur,22,476.5,1185.0
capteur,23,1698.7,1690.5
capteur,24,1684.0,911.6
capteur,25,1583.1,1174.5
capteur,26,135.3,1092.8
capteur,27,1896.6,776.0
capteur,28,1881.7,1186.2
capteur,29,1076.2,315.5
capteur,30,924.4,1673.1
capteur,31,279.6,847.0
capteur,32,1810.1,656.3
capteur,33,1893.2,192.2
capteur,34,1894.3,1016.2
capteur,35,303.0,1164.1
capteur,36,1238.5,1308.4
capteur,37,795.3,1278.2
capteur,38,854.8,1862.0
capteur,39,562.7,1150.7
capteur,40,1487.7,848.4
capteur,41,1163.0,1639.2
capteur,42,1520.0,1787.7
capteur,43,281.7,158.2
capteur,44,262.3,458.1
capteur,45,372.8,1153.0
capteur,46,925.5,1725.1
capteur,47,1692.3,767.7
capteur,48,1441.3,318.3
capteur,49,493.6,185.9
capteur,50,1563.1,1127.8
