type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,501.4,592.9
capteur,2,332.9,767.7
capteur,3,929.0,325.2
capteur,4,379.3,913.2
capteur,5,336.5,242.1
capteur,6,405.5,487.7
capteur,7,518.1,287.6
capteur,8,96.1,491.2
capteur,9,638.2,580.4
capteur,10,719.7,204.4
capteur,11,107.1,315.7
capteur,12,281.6,771.0
capteur,13,60.6,772.0
capteur,14,589.9,639.3
capteur,15,801.1,460.3
capteur,16,776.8,482.8
capteur,17,777.0,468.1
capteur,18,871.0,741.6
capteur,19,438.1,637.5
capteur,20,391.7,568.5
capteur,21,607.4,363.2
capteur,22,491.0,905.4
capteur,23,652.8,373.7
capteur,24,484.8,447.2
capteur,25,835.2,778.6
capteur,26,144.8,572.8
capteur,27,909.6,667.2
capteur,28,774.3,605.6
capteur,29,281.1,230.6
capteur,30,741.9,77.5
capteur,31,569.3,796.1
capteur,32,801.1,294.1
capteur,33,423.1,168.1
capteur,34,633.5,237.8
capteur,35,539.7,475.9
capteur,36,239.7,626.9
capteur,37,632.7,175.6
capteur,38,196.5,645.6
capteur,39,747.8,317.3
capteur,40,209.7,462.0
