type,id,x_m,y_m
passerelle,1,220.0,220.0
passerelle,2,780.0,220.0
passerelle,3,220.0,780.0
passerelle,4,780.0,780.0
capteur,1,937.5,866.2
capteur,2,809.6,227.2
capteur,3,941.7,814.2
capteur,4,817.7,197.0
capteur,5,748.6,535.2
capteur,6,222.6,685.1
capteur,7,583.7,875.1
capteur,8,71.0,205.4
capteur,9,691.7,60.9
capteur,10,694.7,379.1
capteur,11,657.7,825.1
capteur,12,908.6,112.3
capteur,13,575.9,753.1
capteur,14,389.4,219.0
capteur,15,592.6,729.1
capteur,16,227.3,314.5
capteur,17,211.9,104.3
capteur,18,857.1,938.4
capteur,19,568.4,403.1
capteur,20,419.9,356.8
capteur,21,317.4,901.4
capteur,22,133.1,178.1
capteur,23,733.1,556.0
capteur,24,152.4,868.2
capteur,25,626.9,383.6
capteur,26,649.5,493.4
capteur,27,565.4,283.6
capteur,28,232.7,726.8
capteur,29,57.1,248.8
capteur,30,741.7,212.1
capteur,31,910.4,288.5
capteur,32,798.3,236.4
capteur,33,901.9,740.0
capteur,34,480.5,452.8
capteur,35,374.3,242.1
capteur,36,120.2,304.9
capteur,37,681.4,69.6
capteur,38,391.0,573.5
capteur,39,372.7,679.5
capteur,40,815.9,878.5
