type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,724.8,1429.3
capteur,2,1775.5,103.1
capteur,3,1346.5,684.0
capteur,4,252.5,346.2
capteur,5,650.4,773.2
capteur,6,382.2,1468.6
capteur,7,844.0,220.3
capteur,8,1569.9,1164.7
capteur,9,1337.1,851.8
capteur,10,856.1,859.0
capteur,11,1597.4,1334.1
capteur,12,1326.5,1853.8
capteur,13,755.7,1587.2
capteur,14,322.3,1445.5
capteur,15,339.3,259.2
capteur,16,907.6,409.1
capteur,17,239.4,490.1
capteur,18,417.5,1388.3
capteur,19,247.8,569.1
capteur,20,559.7,235.9
capteur,21,1868.1,159.3
capteur,22,973.0,1751.9
capteur,23,381.2,1285.5
capteur,24,1778.2,489.2
capteur,25,149.0,1335.9
capteur,26,198.7,796.7
capteur,27,975.3,814.9
capteur,28,1656.5,809.1
capteur,29,1561.2,939.6
capteur,30,1173.2,338.9
capteur,31,760.2,396.0
capteur,32,318.2,467.3
capteur,33,1684.4,1343.6
capteur,34,1797.2,332.9
capteur,35,1187.1,738.6
capteur,36,278.7,1613.7
capteur,37,1369.4,1691.9
capteur,38,575.9,751.0
capteur,39,1008.1,665.5
capteur,40,611.2,1592.9
capteur,41,1533.3,366.1
capteur,42,282.2,1345.4
capteur,43,1041.3,1007.7
capteur,44,1763.2,808.7
capteur,45,1073.0,1164.2
capteur,46,1502.7,286.5
capteur,47,1452.7,457.5
capteur,48,1672.8,436.5
capteur,49,996.9,967.5
capteur,50,1549.2,415.0
