type,id,x_m,y_m
passerelle,1,360.0,360.0
passerelle,2,1640.0,360.0
passerelle,3,360.0,1640.0
passerelle,4,1640.0,1640.0
passerelle,5,1000.0,1000.0
capteur,1,824.2,1177.4
capteur,2,256.3,622.3
capteur,3,371.3,543.8
capteur,4,1592.9,339.4
capteur,5,486.4,888.1
capteur,6,395.8,836.6
capteur,7,788.2,160.4
capteur,8,726.3,1318.9
capteur,9,1897.3,1473.0
capteur,10,316.0,1418.1
capteur,11,486.0,1512.1
capteur,12,1645.6,920.4
capteur,13,1047.4,1763.9
capteur,14,325.6,545.5
capteur,15,1146.4,998.5
capteur,16,785.4,1642.7
capteur,17,1818.2,1806.2
capteur,18,1736.6,1444.3
capteur,19,941.1,880.2
capteur,20,368.8,1654.1
capteur,21,668.5,1707.2
capteur,22,1326.2,800.0
capteur,23,1442.4,1566.0
capteur,24,682.4,1346.6
capteur,25,1606.1,341.8
capteur,26,1651.4,202.4
capteur,27,526.0,1790.1
capteur,28,254.8,1609.3
capteur,29,1056.3,213.3
capteur,30,1319.3,1353.9
capteur,31,809.9,870.6
capteur,32,1188.7,1013.7
capteur,33,893.5,717.0
capteur,34,1121.2,290.1
capteur,35,146.7,1740.3
capteur,36,149.7,1683.0
capteur,37,385.6,938.3
capteur,38,280.0,659.2
capteur,39,1719.8,713.7
capteur,40,1438.6,1274.3
capteur,41,1151.1,1452.0
capteur,42,1855.4,316.4
capteur,43,530.3,639.0
capteur,44,1558.2,1737.4
capteur,45,175.1,1490.8
capteur,46,903.7,131.9
capteur,47,1413.5,829.3
capteur,48,1535.1,498.8
capteur,49,437.9,179.5
capteur,50,464.0,1091.2
